CODE	NAME	KOMMENT
111	"Не заполнено поле ""Код медицинской организации в системе ОМС"""	"Заполните поле ""Код медицинской организации в системе ОМС"""
112	"Поле ""Код медицинской организации в системе ОМС"" не соответствует справочнику"	"Заполните поле ""Код медицинской организации в системе ОМС"" в соответствии со справочником"
113	Реестр содержит данные по нескольким медицинским организациям	Разделите реестр счетов в соответствии с кодами медицинских организаций в системе ОМС
124	"Поле ""Номер реестра счетов"" не соответствует значению, заданному в имени файла"	Исправьте имя файла или номер реестра счетов
131	"Поле ""Тип реестра счетов"" не заполнено"	"Заполните поле ""Тип реестра счетов"""
132	"Поле ""Тип реестра счетов"" не соответствует справочнику"	"Заполните поле ""Тип реестра счетов"" в соответствии со справочником"
133	"Поле ""Тип реестра счетов"" содержит разные значения внутри реестра счетов"	"Исправьте значение поля ""Тип реестра счетов"""
141	"Не заполнено поле ""Дата формирования реестра счетов"""	"Заполните поле ""Дата формирования реестра счетов"""
142	"Поле ""Дата формирования реестра счетов"" содержит разные значения внутри реестра счетов"	"Исправьте поле ""Дата формирования реестра счетов"""
151	"Поле ""Метод оплаты"" не заполнено"	"Заполните поле ""Метод оплаты"""
152	"Поле ""Метод оплаты"" не соответствует справочнику"	"Заполните поле ""Метод оплаты"" в соответствии со справочником"
162	"В реестре счетов содержатся дубли по полю ""Номер персонального счета"""	"Удалите дубли по полю ""Номер персонального счета"""
171	"Есть данные в таблице ""Персональная часть"", но нет данных в таблице ""Медицинские услуги"""	Исключите персональный счет или добавьте услуги
172	"Есть данные в таблице ""Медицинские услуги"", но нет данных в таблице ""Персональная часть"""	Исключите услуги или добавьте персональный счет
181	"Поле ""ОГРН плательщика"" не заполнено"	"Заполните поле ""ОГРН плательщика"""
182	Реестр счетов содержит записи на нескольких плательщиков	Переформируйте счет по плательщикам
183	Реестр счетов предоставлен не тому плательщику	Предоставьте счет другому плательщику
201	"Не заполнено поле ""Фамилия"""	"Заполните поле ""Фамилия"""
202	"Не заполнено поле ""Имя"""	"Заполните поле ""Имя"""
203	"Не заполнено поле ""Отчество"""	"Заполните поле ""Отчество"""
121	"Поле ""Номер реестра счетов"" не заполнено"	"Заполните поле ""Номер реестра счетов"""
134	"Поле ""Тип реестра счетов"" содержит недопустимое значение"	Тип реестра счетов не первичный, повторный или дополнительный
161	"Не заполнено поле ""Номер персонального счета"""	"Заполните поле ""Номер персонального счета"""
204	"Не заполнено поле ""Пол"""	"Заполните поле ""Пол"""
205	"Некорректно заполнено поле ""Пол"""	"Правильно заполните поле ""Пол"" ( <М> или <Ж>)"
206	"Не заполнено поле ""Дата рождения"""	"Заполните поле ""Дата рождения"""
207	"Не заполнено поле ""Категория"""	"Заполните поле ""Категория"""
208	"Поле ""Категория"" не соответствует справочнику"	"Заполните поле ""Категория"" в соответствии со справочником"
209	"Не заполнено поле ""Социальное положение"""	"Заполните поле ""Социальное положение"""
210	"Поле ""Социальное положение"" не соответствует справочнику"	"Заполните поле ""Социальное положение"" в соответствии со справочником"
256	"Поле ""Территориальный фонд ОМС"" не из справочника"	"Заполните поле ""Территориальный фонд ОМС"" в соответствие со справочником"
213	Не удается идентифицировать пациента (не заполнено ни СМО, ни территория страхования по ОМС)	"Заполните поле ""СМО""-для краевого, ""Наим.инокр. СМО"" - для инокраевого пациента"
255	"Поле ""Код инокраевой СМО"" не заполнено"	"Заполните поле ""Наименование инокраевой СМО"""
214	"Поле ""Номер истории болезни"" не заполнено"	"Заполните поле ""Номер истории болезни"""
215	"Поле ""Дата начала лечения"" не заполнено"	"Заполните поле ""Дата начала лечения"""
216	"""Дата начала лечения"" меньше ""Даты рождения"""	"Измените значение поля ""Дата начала лечения"""
217	"Поле ""Дата окончания лечения"" не заполнено"	"Заполните поле ""Дата окончания лечения"""
